THREADS, # GENERATIONS (10 avg)
1,358.60
2,190.00
3,132.10
4,106.30
5,90.20
6,79.80
7,89.40
8,48.20
9,49.10
10,45.10
11,36.50
12,43.60
13,47.50
14,40.80
15,31.00
16,35.40
17,37.50
18,36.90
19,34.70
20,31.50
21,31.20
22,36.00
23,33.70
24,30.50
25,26.90
26,27.70
27,28.60
28,26.10
29,23.00
30,28.10
31,26.10
32,26.10
33,27.50
34,24.00
35,22.30
36,23.90
37,26.70
38,23.70
39,24.00
40,19.80
41,25.50
42,23.20
43,21.50
44,21.80
45,23.80
46,23.30
47,23.60
48,20.60
49,21.00
50,20.80
51,21.00
52,23.70
53,18.10
54,21.30
55,21.90
56,21.80
57,22.80
58,21.10
59,22.50
60,20.50
61,22.30
62,20.50
63,18.50
64,20.40
