THREADS, # GENERATIONS (100 avg)
1,282.93
2,159.01
3,108.73
4,80.40
5,67.24
6,59.45
7,54.74
8,49.38
9,45.59
10,41.97
11,40.97
12,38.96
13,37.73
14,33.81
15,33.63
16,31.36
17,30.86
18,29.81
19,28.68
20,27.56
21,27.16
22,27.01
23,25.69
24,25.88
25,26.24
26,23.57
27,24.03
28,24.01
29,22.70
30,21.88
31,23.57
32,23.01
33,21.91
34,21.44
35,21.60
36,21.08
37,21.67
38,20.99
39,21.17
40,19.91
41,19.90
42,20.07
43,20.23
44,20.49
45,18.89
46,18.94
47,20.20
48,19.15
49,18.46
50,18.67
51,17.94
52,18.24
53,18.00
54,18.50
55,18.22
56,17.94
57,18.11
58,17.20
59,17.56
60,17.60
61,17.27
62,16.97
63,16.76
64,17.32
