THREADS, # GENERATIONS (100 avg), AVG TIME(micros)
1,269.39,141.44
2,156.05,343.30
3,106.70,1300.44
4,76.74,1233.66
5,73.10,1511.85
6,62.17,1502.14
7,56.98,1655.82
8,50.65,1667.84
9,46.26,1698.05
10,41.40,1707.33
11,41.52,1758.63
12,37.68,1833.20
13,38.26,1991.10
14,35.69,1932.49
15,33.14,2025.08
16,30.21,2118.90
17,30.76,2263.39
18,25.15,1882.86
19,28.33,2207.68
20,28.30,2292.65
21,27.29,2347.53
22,24.83,2375.21
23,27.22,2413.13
24,24.22,2441.81
25,24.76,2547.54
26,23.52,2571.48
27,24.85,2689.68
28,24.57,2645.81
29,22.61,2648.47
30,22.65,2793.93
31,22.17,2964.46
32,21.56,2803.24
33,21.06,2841.91
34,20.02,2821.15
35,19.76,2840.77
36,20.41,2971.67
37,18.90,3000.91
38,19.82,3228.40
39,19.54,3253.51
40,18.69,3169.40
41,18.95,3258.75
42,18.28,3250.18
43,17.69,3375.99
44,12.52,2396.77
45,17.74,3429.31
46,18.79,3507.42
47,17.77,3571.49
48,17.87,3661.13
49,17.43,3553.06
50,17.07,3836.16
51,17.59,3738.20
52,16.07,3794.97
53,17.74,4014.18
54,16.20,3769.32
55,16.39,3985.73
56,15.75,4062.09
57,16.53,4196.58
58,16.04,4028.33
59,16.09,4042.35
60,15.94,4101.55
61,15.76,4179.50
62,15.54,4244.87
63,16.23,4256.84
64,15.39,4501.87
