THREADS, # GENERATIONS (100 avg)
1,285.73
2,152.01
3,108.69
4,84.48
5,70.90
6,60.77
7,56.12
8,58.52
9,49.91
10,45.56
11,40.88
12,38.38
13,37.89
14,39.58
15,32.98
16,31.42
17,30.94
18,30.95
19,30.78
20,30.22
21,28.18
22,27.11
23,26.82
24,25.10
25,26.32
26,24.64
27,24.21
28,22.82
29,24.92
30,21.93
31,22.69
32,22.42
33,21.62
34,21.07
35,23.41
36,20.84
37,20.72
38,19.82
39,19.64
40,19.78
41,20.61
42,20.45
43,19.09
44,18.39
45,19.93
46,19.76
47,18.24
48,17.13
49,18.42
50,17.55
51,17.58
52,18.58
53,17.42
54,17.10
55,13.64
56,13.57
57,17.42
58,16.57
59,16.78
60,16.73
61,15.62
62,15.51
63,15.89
64,13.95
