THREADS, # GENERATIONS (100 avg)
1,301.36
2,178.15
3,129.70
4,96.47
5,80.65
6,66.63
7,62.00
8,55.71
9,47.92
10,46.22
11,42.71
12,42.48
13,40.44
14,37.47
15,36.60
16,34.57
17,34.08
18,34.10
19,30.71
20,30.41
21,30.65
22,28.46
23,28.57
24,26.80
25,25.97
26,26.57
27,25.05
28,25.02
29,24.29
30,24.69
31,22.72
32,24.14
33,22.65
34,23.84
35,23.64
36,22.83
37,22.22
38,22.32
39,21.25
40,21.37
41,22.15
42,21.29
43,20.25
44,20.62
45,20.48
46,20.81
47,20.25
48,19.85
49,20.75
50,19.55
51,19.46
52,19.10
53,19.88
54,19.04
55,18.96
56,19.23
57,19.81
58,19.30
59,18.94
60,19.14
61,18.72
62,17.69
63,18.52
64,18.66
