THREADS, # GENERATIONS (100 avg)
1,1700.70
2,953.14
3,653.75
4,488.17
5,435.17
6,366.81
7,328.04
8,299.69
9,284.89
10,253.18
11,245.27
12,223.89
13,208.76
14,203.71
15,197.48
16,188.17
17,180.23
18,173.06
19,168.52
20,166.96
21,159.28
22,157.20
23,150.23
24,146.21
25,143.56
26,140.87
27,133.74
28,139.01
29,132.70
30,129.66
31,128.33
32,127.66
33,125.15
34,125.29
35,118.70
36,118.31
37,117.40
38,117.24
39,116.93
40,116.13
41,113.29
42,112.03
43,109.26
44,109.93
45,107.99
46,105.04
47,109.29
48,106.16
49,106.68
50,102.06
51,104.18
52,102.69
53,101.78
54,101.18
55,101.36
56,100.57
57,97.84
58,100.40
59,96.51
60,96.43
61,98.80
62,96.94
63,94.77
64,95.88
