THREADS, # GENERATIONS (100 avg)
1,329.73
2,333.09
3,356.63
4,342.10
5,341.36
6,324.71
7,330.61
8,312.85
9,320.09
10,314.70
11,341.16
12,322.98
13,324.72
14,355.03
15,313.92
16,336.24
17,322.94
18,313.50
19,333.72
20,317.65
21,311.78
22,316.17
23,310.26
24,332.08
25,320.02
26,349.70
27,328.97
28,341.35
29,336.27
30,332.79
31,308.88
32,318.87
33,333.50
34,328.31
35,306.91
36,337.81
37,357.56
38,334.89
39,310.41
40,314.98
41,336.37
42,343.09
43,313.40
44,357.51
45,308.93
46,349.77
47,338.93
48,325.36
49,322.65
50,317.23
51,337.89
52,314.83
53,327.19
54,338.60
55,325.15
56,319.04
57,321.69
58,331.86
59,292.42
60,339.39
61,303.20
62,316.74
63,308.71
64,332.51
