THREADS, # GENERATIONS (%100 avg)
1,207.09
2,120.85
3,85.04
4,70.63
5,61.6
6,54.65
7,50.65
8,45.11
9,40.79
10,38.52
11,39.7
12,35.17
13,34.69
14,34.06
15,32.79
16,30.56
17,31.08
18,30.33
19,29.48
20,28.03
21,27.66
22,27.99
23,26.74
24,26.13
25,26.24
26,25.81
27,25.23
28,23.4
29,24.07
30,23.18
31,22.95
32,23.61
33,23.03
34,21.66
35,23.0
36,22.07
37,21.6
38,23.09
39,21.35
40,20.79
41,20.22
42,20.9
43,20.52
44,19.93
45,20.78
46,20.01
47,19.91
48,19.17
49,20.22
50,20.3
51,19.37
52,18.87
53,19.09
54,18.66
55,18.53
56,18.78
57,18.79
58,18.33
59,17.49
60,18.14
61,18.29
62,17.9
63,17.78
64,17.94
