THREADS, # GENERATIONS (%100 avg)
1,296.87
2,302.39
3,318.24
4,294.63
5,302.54
6,299.87
7,314.74
8,297.72
9,297.35
10,291.48
11,312.33
12,277.82
13,288.33
14,306.76
15,303.39
16,300.13
17,311.02
18,284.37
19,303.08
20,302.31
21,302.09
22,305.45
23,295.08
24,297.11
25,303.46
26,299.19
27,298.9
28,299.09
29,293.96
30,311.63
31,298.47
32,305.38
33,314.96
34,305.16
35,296.35
36,303.61
37,298.77
38,302.15
39,298.76
40,293.04
41,284.13
42,300.43
43,295.99
44,300.72
45,315.09
46,289.72
47,297.76
48,327.63
49,315.79
50,291.9
51,288.75
52,300.26
53,315.88
54,301.4
55,286.13
56,299.34
57,305.53
58,298.66
59,308.14
60,305.42
61,331.49
62,299.88
63,308.7
64,291.29
